TransactionDate,TransactionType,SecurityType,Symbol,Quantity,Amount,Price,Commission,Description
2019-10-17,Bought,EQ,IBM,4,-532.95,133.2378,0.0,INTERNATIONAL BUSINESS        MACHINES CORP
2019-10-18,Bought,EQ,UVXY,114,-2475.53,21.7152,0.0,PROSHARES TRUST II            PROSHARES ULTRA VIX SHORT TERM
2019-10-25,Sold,EQ,TSLA,-12,3932.02,327.6756,0.0,TESLA INC                     COMMON STOCK
2019-10-25,Bought,EQ,BA,2,-680.12,340.0599,0.0,BOEING CO
2019-10-28,Interest,BOND,00099A109,0,0.09,0.0,0.0,INTEREST ON CASH BALANCE      AT  0.009% 09/26 THRU 10/25   
2019-11-04,Bought,EQ,UVXY,54,-981.59,18.1775,0.0,PROSHARES TRUST II            PROSHARES ULTRA VIX SHORT TERM
2019-11-06,Dividend,EQ,BOND,0,3.0,0.0,0.0,PIMCO ACTIVE BOND EXCHANGE    TRADED FUND                   
2019-11-12,Sold,EQ,BA,-2,732.3,366.16,0.0,BOEING CO
2019-11-21,Dividend,EQ,AMLP,0,68.45,0.0,0.0,ALPS ETF TR ALERIAN MLP       CASH DIV  ON     351 SHS      
2019-11-26,Dividend,EQ,AMJL,0,38.11,0.0,0.0,***CREDIT SUISSE AG           CREDIT SUISSE X LNKS MNTHLY PY
2019-11-26,Interest,BOND,00099A109,0,0.11,0.0,0.0,INTEREST ON CASH BALANCE      AT  0.009% 10/26 THRU 11/25   
2019-12-03,Sold,EQ,UVXY,-168,2980.23,17.74,0.0,PROSHARES TRUST II            PROSHARES ULTRA VIX SHORT TERM
2019-12-05,Dividend,EQ,BOND,0,2.9,0.0,0.0,PIMCO ACTIVE BOND EXCHANGE    TRADED FUND                   
2019-12-06,Dividend,EQ,BA,0,4.11,0.0,0.0,BOEING CO                     CASH DIV  ON       2 SHS      
2019-12-10,Dividend,EQ,CVX,0,11.9,0.0,0.0,CHEVRON CORPORATION           CASH DIV  ON      10 SHS      
2019-12-10,Dividend,EQ,IBM,0,14.58,0.0,0.0,INTERNATIONAL BUSINESS        MACHINES CORP                 
2019-12-16,Bought,EQ,UVXY,234,-2997.52,12.8099,0.0,PROSHARES TRUST II            PROSHARES ULTRA VIX SHORT TERM
2019-12-18,Dividend,EQ,RDS.B,0,14.1,0.0,0.0,***ROYAL DUTCH SHELL PLC      SPONSORED ADR REPSTG B SHS    
2019-12-18,Dividend,EQ,RDS.A,0,12.43,0.0,0.0,***ROYAL DUTCH SHELL PLC      SPONSORED ADR REPSTG A SHS    
2019-12-18,Dividend,EQ,RDS.A,0,-1.86,0.0,0.0,***ROYAL DUTCH Foreign Stk W/HSPONSORED ADR REPSTG A SHS    
2019-12-20,Dividend,EQ,BP,0,18.45,0.0,0.0,***BP P L C SPONSORED ADR     (FRM BP AMOCO PLC)            
2019-12-20,Dividend,EQ,AMJL,0,32.47,0.0,0.0,***CREDIT SUISSE AG           CREDIT SUISSE X LNKS MNTHLY PY
2019-12-20,Dividend,EQ,BP,0,-0.15,0.0,0.0,***BP P L C SPONSORED ADR     (FRM BP AMOCO PLC)            
2019-12-26,Interest,BOND,00099A109,0,0.12,0.0,0.0,INTEREST ON CASH BALANCE      AT  0.009% 11/26 THRU 12/25   
