Date,Amount,Description,Category,Source
2019-10-02,-20.0,8776009454 Wikipedia Gift,Other Services,CAPITAL ONE VISA
2019-10-03,-23.25,VINCES ITALIAN RESTAU,Dining,CAPITAL ONE VISA
2019-10-03,-12.09,802 KENMORE KIDD VALLEY,Dining,CAPITAL ONE VISA
2019-10-03,-66.95,VENMO,Other Services,CAPITAL ONE VISA
2019-10-04,-8.4,SDOT PAYBYPHONE PARKING,Gas/Automotive,CAPITAL ONE VISA
2019-10-06,-35.83,SAMS TAVERN SLU,Dining,CAPITAL ONE VISA
2019-10-08,-86.84,VENMO,Other Services,CAPITAL ONE VISA
2019-10-09,-242.95,CITY OF MERCER ISLAND,Utilities,CAPITAL ONE VISA
2019-10-10,-6.0,SDOT PAYBYPHONE PARKING,Gas/Automotive,CAPITAL ONE VISA
2019-10-10,-103.12,LE PICHET,Dining,CAPITAL ONE VISA
2019-10-11,-26.0,PBPSA USPSA,Other,CAPITAL ONE VISA
2019-10-11,-13.23,QFC #5839,Merchandise,CAPITAL ONE VISA
2019-10-12,-6.66,DICK'S DRIVE-IN WALLINGF,Dining,CAPITAL ONE VISA
2019-10-13,-722.95,SNOW.COM/VAIL RESORTS SKI,Entertainment,CAPITAL ONE VISA
2019-10-13,-8.46,MCDONALD'S F11027,Dining,CAPITAL ONE VISA
2019-10-15,-12.26,IPM LOT 49,Gas/Automotive,CAPITAL ONE VISA
2019-10-16,-27.5,FEDERAL WAY INDOOR RANGE,Merchandise,CAPITAL ONE VISA
2019-10-16,-65.38,AMZN Mktp US*M38681GC1,Merchandise,CAPITAL ONE VISA
2019-10-16,-20.89,AMAZON.COM*7U88N4VA3 AMZN,Merchandise,CAPITAL ONE VISA
2019-10-17,-77.6,AMZN Mktp US*528V14RK3,Merchandise,CAPITAL ONE VISA
2019-10-17,-15.88,AMAZON.COM*DA78P8BN3 AMZN,Merchandise,CAPITAL ONE VISA
2019-10-17,-11.12,TUBS GOURMET SUBS,Merchandise,CAPITAL ONE VISA
2019-10-18,-10.98,AMAZON.COM*D52NC1LY3 AMZN,Merchandise,CAPITAL ONE VISA
2019-10-22,-82.42,HARBOR FREIGHT,Merchandise,CAPITAL ONE VISA
2019-10-22,-4.82,SDOT PAYBYPHONE PARKING,Gas/Automotive,CAPITAL ONE VISA
2019-10-23,-27.5,FEDERAL WAY INDOOR RANGE,Merchandise,CAPITAL ONE VISA
2019-10-28,-2.83,SDOT PAYBYPHONE PARKING,Gas/Automotive,CAPITAL ONE VISA
2019-10-28,268.29,CAPITAL ONE AUTOPAY PYMT,Payment/Credit,CAPITAL ONE VISA
2019-10-29,-3.0,SDOT PAYBYPHONE PARKING,Gas/Automotive,CAPITAL ONE VISA
2019-11-14,-8.58,SDOT PAYBYPHONE PARKING,Gas/Automotive,CAPITAL ONE VISA
2019-11-25,-0.75,SDOT PAYBYPHONE PARKING,Gas/Automotive,CAPITAL ONE VISA
2019-11-28,1756.65,CAPITAL ONE AUTOPAY PYMT,Payment/Credit,CAPITAL ONE VISA
2019-12-07,-0.2,SDOT PAYBYPHONE PARKING,Gas/Automotive,CAPITAL ONE VISA
2019-12-28,9.33,CAPITAL ONE AUTOPAY PYMT,Payment/Credit,CAPITAL ONE VISA
2019-12-28,-2.83,SDOT PAYBYPHONE PARKING,Gas/Automotive,CAPITAL ONE VISA
2019-12-28,-5.0,SDOT PAYBYPHONE PARKING,Gas/Automotive,CAPITAL ONE VISA
